"year" "cites" "Name" "Department"
"71" 2013 7 "Miranda Waggoner" "Sociology"
"72" 2014 8 "Miranda Waggoner" "Sociology"
"73" 2015 28 "Miranda Waggoner" "Sociology"
"74" 2016 48 "Miranda Waggoner" "Sociology"
"75" 2017 65 "Miranda Waggoner" "Sociology"
"76" 2018 84 "Miranda Waggoner" "Sociology"
"77" 2019 84 "Miranda Waggoner" "Sociology"
"78" 2020 12 "Miranda Waggoner" "Sociology"
"79" 2005 7 "Koji Ueno" "Sociology"
"80" 2006 25 "Koji Ueno" "Sociology"
"81" 2007 44 "Koji Ueno" "Sociology"
"82" 2008 74 "Koji Ueno" "Sociology"
"83" 2009 85 "Koji Ueno" "Sociology"
"84" 2010 95 "Koji Ueno" "Sociology"
"85" 2011 122 "Koji Ueno" "Sociology"
"86" 2012 120 "Koji Ueno" "Sociology"
"87" 2013 158 "Koji Ueno" "Sociology"
"88" 2014 193 "Koji Ueno" "Sociology"
"89" 2015 210 "Koji Ueno" "Sociology"
"90" 2016 188 "Koji Ueno" "Sociology"
"91" 2017 205 "Koji Ueno" "Sociology"
"92" 2018 197 "Koji Ueno" "Sociology"
"93" 2019 197 "Koji Ueno" "Sociology"
"94" 2020 45 "Koji Ueno" "Sociology"
"95" 2005 15 "Miles Taylor" "Sociology"
"96" 2006 32 "Miles Taylor" "Sociology"
"97" 2007 25 "Miles Taylor" "Sociology"
"98" 2008 39 "Miles Taylor" "Sociology"
"99" 2009 46 "Miles Taylor" "Sociology"
"100" 2010 90 "Miles Taylor" "Sociology"
"101" 2011 77 "Miles Taylor" "Sociology"
"102" 2012 94 "Miles Taylor" "Sociology"
"103" 2013 89 "Miles Taylor" "Sociology"
"104" 2014 148 "Miles Taylor" "Sociology"
"105" 2015 137 "Miles Taylor" "Sociology"
"106" 2016 178 "Miles Taylor" "Sociology"
"107" 2017 196 "Miles Taylor" "Sociology"
"108" 2018 238 "Miles Taylor" "Sociology"
"109" 2019 253 "Miles Taylor" "Sociology"
"110" 2020 47 "Miles Taylor" "Sociology"
"111" 2002 11 "John Taylor" "Sociology"
"112" 2003 24 "John Taylor" "Sociology"
"113" 2004 45 "John Taylor" "Sociology"
"114" 2005 41 "John Taylor" "Sociology"
"115" 2006 58 "John Taylor" "Sociology"
"116" 2007 78 "John Taylor" "Sociology"
"117" 2008 100 "John Taylor" "Sociology"
"118" 2009 128 "John Taylor" "Sociology"
"119" 2010 106 "John Taylor" "Sociology"
"120" 2011 131 "John Taylor" "Sociology"
"121" 2012 145 "John Taylor" "Sociology"
"122" 2013 170 "John Taylor" "Sociology"
"123" 2014 146 "John Taylor" "Sociology"
"124" 2015 161 "John Taylor" "Sociology"
"125" 2016 175 "John Taylor" "Sociology"
"126" 2017 184 "John Taylor" "Sociology"
"127" 2018 206 "John Taylor" "Sociology"
"128" 2019 201 "John Taylor" "Sociology"
"129" 2020 25 "John Taylor" "Sociology"
"130" 1999 9 "Doug Schrock" "Sociology"
"131" 2000 10 "Doug Schrock" "Sociology"
"132" 2001 28 "Doug Schrock" "Sociology"
"133" 2002 22 "Doug Schrock" "Sociology"
"134" 2003 35 "Doug Schrock" "Sociology"
"135" 2004 37 "Doug Schrock" "Sociology"
"136" 2005 32 "Doug Schrock" "Sociology"
"137" 2006 64 "Doug Schrock" "Sociology"
"138" 2007 80 "Doug Schrock" "Sociology"
"139" 2008 103 "Doug Schrock" "Sociology"
"140" 2009 83 "Doug Schrock" "Sociology"
"141" 2010 147 "Doug Schrock" "Sociology"
"142" 2011 136 "Doug Schrock" "Sociology"
"143" 2012 211 "Doug Schrock" "Sociology"
"144" 2013 233 "Doug Schrock" "Sociology"
"145" 2014 311 "Doug Schrock" "Sociology"
"146" 2015 315 "Doug Schrock" "Sociology"
"147" 2016 322 "Doug Schrock" "Sociology"
"148" 2017 317 "Doug Schrock" "Sociology"
"149" 2018 304 "Doug Schrock" "Sociology"
"150" 2019 359 "Doug Schrock" "Sociology"
"151" 2020 42 "Doug Schrock" "Sociology"
"152" 2006 3 "Paromita Sanyal" "Sociology"
"153" 2007 4 "Paromita Sanyal" "Sociology"
"154" 2008 10 "Paromita Sanyal" "Sociology"
"155" 2009 6 "Paromita Sanyal" "Sociology"
"156" 2010 22 "Paromita Sanyal" "Sociology"
"157" 2011 29 "Paromita Sanyal" "Sociology"
"158" 2012 48 "Paromita Sanyal" "Sociology"
"159" 2013 50 "Paromita Sanyal" "Sociology"
"160" 2014 52 "Paromita Sanyal" "Sociology"
"161" 2015 69 "Paromita Sanyal" "Sociology"
"162" 2016 55 "Paromita Sanyal" "Sociology"
"163" 2017 76 "Paromita Sanyal" "Sociology"
"164" 2018 85 "Paromita Sanyal" "Sociology"
"165" 2019 101 "Paromita Sanyal" "Sociology"
"166" 2020 8 "Paromita Sanyal" "Sociology"
"167" 1981 34 "Deana Rohlinger" "Sociology"
"168" 1982 32 "Deana Rohlinger" "Sociology"
"169" 1983 26 "Deana Rohlinger" "Sociology"
"170" 1984 27 "Deana Rohlinger" "Sociology"
"171" 1985 25 "Deana Rohlinger" "Sociology"
"172" 1986 35 "Deana Rohlinger" "Sociology"
"173" 1987 25 "Deana Rohlinger" "Sociology"
"174" 1988 35 "Deana Rohlinger" "Sociology"
"175" 1989 24 "Deana Rohlinger" "Sociology"
"176" 1990 20 "Deana Rohlinger" "Sociology"
"177" 1991 29 "Deana Rohlinger" "Sociology"
"178" 1992 44 "Deana Rohlinger" "Sociology"
"179" 1993 22 "Deana Rohlinger" "Sociology"
"180" 1994 44 "Deana Rohlinger" "Sociology"
"181" 1995 37 "Deana Rohlinger" "Sociology"
"182" 1996 29 "Deana Rohlinger" "Sociology"
"183" 1997 37 "Deana Rohlinger" "Sociology"
"184" 1998 27 "Deana Rohlinger" "Sociology"
"185" 1999 47 "Deana Rohlinger" "Sociology"
"186" 2000 49 "Deana Rohlinger" "Sociology"
"187" 2001 45 "Deana Rohlinger" "Sociology"
"188" 2002 55 "Deana Rohlinger" "Sociology"
"189" 2003 45 "Deana Rohlinger" "Sociology"
"190" 2004 63 "Deana Rohlinger" "Sociology"
"191" 2005 76 "Deana Rohlinger" "Sociology"
"192" 2006 83 "Deana Rohlinger" "Sociology"
"193" 2007 104 "Deana Rohlinger" "Sociology"
"194" 2008 114 "Deana Rohlinger" "Sociology"
"195" 2009 128 "Deana Rohlinger" "Sociology"
"196" 2010 139 "Deana Rohlinger" "Sociology"
"197" 2011 154 "Deana Rohlinger" "Sociology"
"198" 2012 199 "Deana Rohlinger" "Sociology"
"199" 2013 211 "Deana Rohlinger" "Sociology"
"200" 2014 246 "Deana Rohlinger" "Sociology"
"201" 2015 267 "Deana Rohlinger" "Sociology"
"202" 2016 262 "Deana Rohlinger" "Sociology"
"203" 2017 309 "Deana Rohlinger" "Sociology"
"204" 2018 296 "Deana Rohlinger" "Sociology"
"205" 2019 303 "Deana Rohlinger" "Sociology"
"206" 2020 53 "Deana Rohlinger" "Sociology"
"207" 1999 17 "John Reynolds" "Sociology"
"208" 2000 18 "John Reynolds" "Sociology"
"209" 2001 34 "John Reynolds" "Sociology"
"210" 2002 50 "John Reynolds" "Sociology"
"211" 2003 51 "John Reynolds" "Sociology"
"212" 2004 65 "John Reynolds" "Sociology"
"213" 2005 96 "John Reynolds" "Sociology"
"214" 2006 89 "John Reynolds" "Sociology"
"215" 2007 110 "John Reynolds" "Sociology"
"216" 2008 133 "John Reynolds" "Sociology"
"217" 2009 133 "John Reynolds" "Sociology"
"218" 2010 174 "John Reynolds" "Sociology"
"219" 2011 198 "John Reynolds" "Sociology"
"220" 2012 189 "John Reynolds" "Sociology"
"221" 2013 224 "John Reynolds" "Sociology"
"222" 2014 223 "John Reynolds" "Sociology"
"223" 2015 268 "John Reynolds" "Sociology"
"224" 2016 288 "John Reynolds" "Sociology"
"225" 2017 297 "John Reynolds" "Sociology"
"226" 2018 294 "John Reynolds" "Sociology"
"227" 2019 264 "John Reynolds" "Sociology"
"228" 2020 36 "John Reynolds" "Sociology"
"229" 1993 16 "Irene Padavic" "Sociology"
"230" 1994 14 "Irene Padavic" "Sociology"
"231" 1995 18 "Irene Padavic" "Sociology"
"232" 1996 38 "Irene Padavic" "Sociology"
"233" 1997 56 "Irene Padavic" "Sociology"
"234" 1998 48 "Irene Padavic" "Sociology"
"235" 1999 68 "Irene Padavic" "Sociology"
"236" 2000 106 "Irene Padavic" "Sociology"
"237" 2001 95 "Irene Padavic" "Sociology"
"238" 2002 122 "Irene Padavic" "Sociology"
"239" 2003 104 "Irene Padavic" "Sociology"
"240" 2004 142 "Irene Padavic" "Sociology"
"241" 2005 171 "Irene Padavic" "Sociology"
"242" 2006 193 "Irene Padavic" "Sociology"
"243" 2007 212 "Irene Padavic" "Sociology"
"244" 2008 209 "Irene Padavic" "Sociology"
"245" 2009 221 "Irene Padavic" "Sociology"
"246" 2010 251 "Irene Padavic" "Sociology"
"247" 2011 285 "Irene Padavic" "Sociology"
"248" 2012 272 "Irene Padavic" "Sociology"
"249" 2013 297 "Irene Padavic" "Sociology"
"250" 2014 298 "Irene Padavic" "Sociology"
"251" 2015 339 "Irene Padavic" "Sociology"
"252" 2016 336 "Irene Padavic" "Sociology"
"253" 2017 336 "Irene Padavic" "Sociology"
"254" 2018 348 "Irene Padavic" "Sociology"
"255" 2019 389 "Irene Padavic" "Sociology"
"256" 2020 44 "Irene Padavic" "Sociology"
"257" 2011 14 "Michael mcFarland" "Sociology"
"258" 2012 25 "Michael mcFarland" "Sociology"
"259" 2013 33 "Michael mcFarland" "Sociology"
"260" 2014 50 "Michael mcFarland" "Sociology"
"261" 2015 65 "Michael mcFarland" "Sociology"
"262" 2016 94 "Michael mcFarland" "Sociology"
"263" 2017 71 "Michael mcFarland" "Sociology"
"264" 2018 97 "Michael mcFarland" "Sociology"
"265" 2019 78 "Michael mcFarland" "Sociology"
"266" 2020 14 "Michael mcFarland" "Sociology"
"267" 2017 3 "Patricia Homan" "Sociology"
"268" 2018 10 "Patricia Homan" "Sociology"
"269" 2019 15 "Patricia Homan" "Sociology"
"270" 2020 8 "Patricia Homan" "Sociology"
"271" 2015 4 "Mathew Hauer" "Sociology"
"272" 2016 20 "Mathew Hauer" "Sociology"
"273" 2017 58 "Mathew Hauer" "Sociology"
"274" 2018 108 "Mathew Hauer" "Sociology"
"275" 2019 150 "Mathew Hauer" "Sociology"
"276" 2020 26 "Mathew Hauer" "Sociology"
"277" 2008 7 "Dawn Carr" "Sociology"
"278" 2009 21 "Dawn Carr" "Sociology"
"279" 2010 18 "Dawn Carr" "Sociology"
"280" 2011 19 "Dawn Carr" "Sociology"
"281" 2012 40 "Dawn Carr" "Sociology"
"282" 2013 40 "Dawn Carr" "Sociology"
"283" 2014 54 "Dawn Carr" "Sociology"
"284" 2015 65 "Dawn Carr" "Sociology"
"285" 2016 86 "Dawn Carr" "Sociology"
"286" 2017 145 "Dawn Carr" "Sociology"
"287" 2018 178 "Dawn Carr" "Sociology"
"288" 2019 203 "Dawn Carr" "Sociology"
"289" 2020 42 "Dawn Carr" "Sociology"
"290" 1984 7 "Elwood Carlson" "Sociology"
"291" 1985 12 "Elwood Carlson" "Sociology"
"292" 1986 12 "Elwood Carlson" "Sociology"
"293" 1987 18 "Elwood Carlson" "Sociology"
"294" 1988 9 "Elwood Carlson" "Sociology"
"295" 1989 11 "Elwood Carlson" "Sociology"
"296" 1990 21 "Elwood Carlson" "Sociology"
"297" 1991 10 "Elwood Carlson" "Sociology"
"298" 1992 13 "Elwood Carlson" "Sociology"
"299" 1993 12 "Elwood Carlson" "Sociology"
"300" 1994 20 "Elwood Carlson" "Sociology"
"301" 1995 10 "Elwood Carlson" "Sociology"
"302" 1996 7 "Elwood Carlson" "Sociology"
"303" 1997 10 "Elwood Carlson" "Sociology"
"304" 1998 8 "Elwood Carlson" "Sociology"
"305" 1999 12 "Elwood Carlson" "Sociology"
"306" 2000 13 "Elwood Carlson" "Sociology"
"307" 2001 14 "Elwood Carlson" "Sociology"
"308" 2002 23 "Elwood Carlson" "Sociology"
"309" 2003 24 "Elwood Carlson" "Sociology"
"310" 2004 31 "Elwood Carlson" "Sociology"
"311" 2005 27 "Elwood Carlson" "Sociology"
"312" 2006 23 "Elwood Carlson" "Sociology"
"313" 2007 27 "Elwood Carlson" "Sociology"
"314" 2008 31 "Elwood Carlson" "Sociology"
"315" 2009 39 "Elwood Carlson" "Sociology"
"316" 2010 36 "Elwood Carlson" "Sociology"
"317" 2011 45 "Elwood Carlson" "Sociology"
"318" 2012 44 "Elwood Carlson" "Sociology"
"319" 2013 39 "Elwood Carlson" "Sociology"
"320" 2014 43 "Elwood Carlson" "Sociology"
"321" 2015 49 "Elwood Carlson" "Sociology"
"322" 2016 42 "Elwood Carlson" "Sociology"
"323" 2017 44 "Elwood Carlson" "Sociology"
"324" 2018 33 "Elwood Carlson" "Sociology"
"325" 2019 49 "Elwood Carlson" "Sociology"
"326" 2020 11 "Elwood Carlson" "Sociology"
"327" 2006 9 "Amy Burdette" "Sociology"
"328" 2007 26 "Amy Burdette" "Sociology"
"329" 2008 55 "Amy Burdette" "Sociology"
"330" 2009 68 "Amy Burdette" "Sociology"
"331" 2010 101 "Amy Burdette" "Sociology"
"332" 2011 128 "Amy Burdette" "Sociology"
"333" 2012 198 "Amy Burdette" "Sociology"
"334" 2013 263 "Amy Burdette" "Sociology"
"335" 2014 262 "Amy Burdette" "Sociology"
"336" 2015 268 "Amy Burdette" "Sociology"
"337" 2016 309 "Amy Burdette" "Sociology"
"338" 2017 316 "Amy Burdette" "Sociology"
"339" 2018 390 "Amy Burdette" "Sociology"
"340" 2019 325 "Amy Burdette" "Sociology"
"341" 2020 76 "Amy Burdette" "Sociology"
"342" 2017 2 "Shantel Buggs" "Sociology"
"343" 2018 9 "Shantel Buggs" "Sociology"
"344" 2019 12 "Shantel Buggs" "Sociology"
"345" 2020 2 "Shantel Buggs" "Sociology"
"346" 1994 16 "Karin Brewster" "Sociology"
"347" 1995 25 "Karin Brewster" "Sociology"
"348" 1996 53 "Karin Brewster" "Sociology"
"349" 1997 58 "Karin Brewster" "Sociology"
"350" 1998 66 "Karin Brewster" "Sociology"
"351" 1999 67 "Karin Brewster" "Sociology"
"352" 2000 88 "Karin Brewster" "Sociology"
"353" 2001 136 "Karin Brewster" "Sociology"
"354" 2002 159 "Karin Brewster" "Sociology"
"355" 2003 167 "Karin Brewster" "Sociology"
"356" 2004 189 "Karin Brewster" "Sociology"
"357" 2005 195 "Karin Brewster" "Sociology"
"358" 2006 215 "Karin Brewster" "Sociology"
"359" 2007 149 "Karin Brewster" "Sociology"
"360" 2008 217 "Karin Brewster" "Sociology"
"361" 2009 218 "Karin Brewster" "Sociology"
"362" 2010 268 "Karin Brewster" "Sociology"
"363" 2011 238 "Karin Brewster" "Sociology"
"364" 2012 243 "Karin Brewster" "Sociology"
"365" 2013 247 "Karin Brewster" "Sociology"
"366" 2014 283 "Karin Brewster" "Sociology"
"367" 2015 216 "Karin Brewster" "Sociology"
"368" 2016 250 "Karin Brewster" "Sociology"
"369" 2017 251 "Karin Brewster" "Sociology"
"370" 2018 219 "Karin Brewster" "Sociology"
"371" 2019 179 "Karin Brewster" "Sociology"
"372" 2020 33 "Karin Brewster" "Sociology"
"373" 2001 10 "Anne Barrett" "Sociology"
"374" 2002 11 "Anne Barrett" "Sociology"
"375" 2003 28 "Anne Barrett" "Sociology"
"376" 2004 29 "Anne Barrett" "Sociology"
"377" 2005 50 "Anne Barrett" "Sociology"
"378" 2006 73 "Anne Barrett" "Sociology"
"379" 2007 95 "Anne Barrett" "Sociology"
"380" 2008 133 "Anne Barrett" "Sociology"
"381" 2009 134 "Anne Barrett" "Sociology"
"382" 2010 169 "Anne Barrett" "Sociology"
"383" 2011 154 "Anne Barrett" "Sociology"
"384" 2012 208 "Anne Barrett" "Sociology"
"385" 2013 236 "Anne Barrett" "Sociology"
"386" 2014 277 "Anne Barrett" "Sociology"
"387" 2015 317 "Anne Barrett" "Sociology"
"388" 2016 347 "Anne Barrett" "Sociology"
"389" 2017 394 "Anne Barrett" "Sociology"
"390" 2018 425 "Anne Barrett" "Sociology"
"391" 2019 402 "Anne Barrett" "Sociology"
"392" 2020 56 "Anne Barrett" "Sociology"
"393" 2005 15 "Kaifeng Yang" "Public Administration"
"394" 2006 42 "Kaifeng Yang" "Public Administration"
"395" 2007 57 "Kaifeng Yang" "Public Administration"
"396" 2008 115 "Kaifeng Yang" "Public Administration"
"397" 2009 187 "Kaifeng Yang" "Public Administration"
"398" 2010 209 "Kaifeng Yang" "Public Administration"
"399" 2011 268 "Kaifeng Yang" "Public Administration"
"400" 2012 343 "Kaifeng Yang" "Public Administration"
"401" 2013 425 "Kaifeng Yang" "Public Administration"
"402" 2014 500 "Kaifeng Yang" "Public Administration"
"403" 2015 488 "Kaifeng Yang" "Public Administration"
"404" 2016 582 "Kaifeng Yang" "Public Administration"
"405" 2017 533 "Kaifeng Yang" "Public Administration"
"406" 2018 516 "Kaifeng Yang" "Public Administration"
"407" 2019 545 "Kaifeng Yang" "Public Administration"
"408" 2020 77 "Kaifeng Yang" "Public Administration"
"409" 2007 12 "Keon-Hyung Lee" "Public Administration"
"410" 2008 17 "Keon-Hyung Lee" "Public Administration"
"411" 2009 10 "Keon-Hyung Lee" "Public Administration"
"412" 2010 29 "Keon-Hyung Lee" "Public Administration"
"413" 2011 35 "Keon-Hyung Lee" "Public Administration"
"414" 2012 55 "Keon-Hyung Lee" "Public Administration"
"415" 2013 43 "Keon-Hyung Lee" "Public Administration"
"416" 2014 59 "Keon-Hyung Lee" "Public Administration"
"417" 2015 68 "Keon-Hyung Lee" "Public Administration"
"418" 2016 70 "Keon-Hyung Lee" "Public Administration"
"419" 2017 67 "Keon-Hyung Lee" "Public Administration"
"420" 2018 90 "Keon-Hyung Lee" "Public Administration"
"421" 2019 71 "Keon-Hyung Lee" "Public Administration"
"422" 2020 11 "Keon-Hyung Lee" "Public Administration"
"423" 1996 44 "Richard Feiock" "Public Administration"
"424" 1997 38 "Richard Feiock" "Public Administration"
"425" 1998 31 "Richard Feiock" "Public Administration"
"426" 1999 74 "Richard Feiock" "Public Administration"
"427" 2000 49 "Richard Feiock" "Public Administration"
"428" 2001 68 "Richard Feiock" "Public Administration"
"429" 2002 107 "Richard Feiock" "Public Administration"
"430" 2003 106 "Richard Feiock" "Public Administration"
"431" 2004 146 "Richard Feiock" "Public Administration"
"432" 2005 173 "Richard Feiock" "Public Administration"
"433" 2006 211 "Richard Feiock" "Public Administration"
"434" 2007 245 "Richard Feiock" "Public Administration"
"435" 2008 238 "Richard Feiock" "Public Administration"
"436" 2009 421 "Richard Feiock" "Public Administration"
"437" 2010 475 "Richard Feiock" "Public Administration"
"438" 2011 487 "Richard Feiock" "Public Administration"
"439" 2012 653 "Richard Feiock" "Public Administration"
"440" 2013 667 "Richard Feiock" "Public Administration"
"441" 2014 837 "Richard Feiock" "Public Administration"
"442" 2015 802 "Richard Feiock" "Public Administration"
"443" 2016 938 "Richard Feiock" "Public Administration"
"444" 2017 940 "Richard Feiock" "Public Administration"
"445" 2018 1141 "Richard Feiock" "Public Administration"
"446" 2019 1227 "Richard Feiock" "Public Administration"
"447" 2020 201 "Richard Feiock" "Public Administration"
"448" 2012 2 "Daniel Fay" "Public Administration"
"449" 2013 7 "Daniel Fay" "Public Administration"
"450" 2014 31 "Daniel Fay" "Public Administration"
"451" 2015 62 "Daniel Fay" "Public Administration"
"452" 2016 71 "Daniel Fay" "Public Administration"
"453" 2017 84 "Daniel Fay" "Public Administration"
"454" 2018 98 "Daniel Fay" "Public Administration"
"455" 2019 104 "Daniel Fay" "Public Administration"
"456" 2020 17 "Daniel Fay" "Public Administration"
"457" 1995 24 "Frances Berry" "Public Administration"
"458" 1996 43 "Frances Berry" "Public Administration"
"459" 1997 34 "Frances Berry" "Public Administration"
"460" 1998 55 "Frances Berry" "Public Administration"
"461" 1999 72 "Frances Berry" "Public Administration"
"462" 2000 47 "Frances Berry" "Public Administration"
"463" 2001 77 "Frances Berry" "Public Administration"
"464" 2002 106 "Frances Berry" "Public Administration"
"465" 2003 154 "Frances Berry" "Public Administration"
"466" 2004 195 "Frances Berry" "Public Administration"
"467" 2005 220 "Frances Berry" "Public Administration"
"468" 2006 220 "Frances Berry" "Public Administration"
"469" 2007 269 "Frances Berry" "Public Administration"
"470" 2008 280 "Frances Berry" "Public Administration"
"471" 2009 308 "Frances Berry" "Public Administration"
"472" 2010 327 "Frances Berry" "Public Administration"
"473" 2011 328 "Frances Berry" "Public Administration"
"474" 2012 428 "Frances Berry" "Public Administration"
"475" 2013 536 "Frances Berry" "Public Administration"
"476" 2014 512 "Frances Berry" "Public Administration"
"477" 2015 519 "Frances Berry" "Public Administration"
"478" 2016 495 "Frances Berry" "Public Administration"
"479" 2017 516 "Frances Berry" "Public Administration"
"480" 2018 552 "Frances Berry" "Public Administration"
"481" 2019 550 "Frances Berry" "Public Administration"
"482" 2020 76 "Frances Berry" "Public Administration"
"483" 2010 12 "David Berlan" "Public Administration"
"484" 2011 15 "David Berlan" "Public Administration"
"485" 2012 12 "David Berlan" "Public Administration"
"486" 2013 18 "David Berlan" "Public Administration"
"487" 2014 14 "David Berlan" "Public Administration"
"488" 2015 25 "David Berlan" "Public Administration"
"489" 2016 49 "David Berlan" "Public Administration"
"490" 2017 54 "David Berlan" "Public Administration"
"491" 2018 81 "David Berlan" "Public Administration"
"492" 2019 60 "David Berlan" "Public Administration"
"493" 2020 14 "David Berlan" "Public Administration"
"494" 1994 5 "Carol Weissert" "Political Science"
"495" 1995 10 "Carol Weissert" "Political Science"
"496" 1996 10 "Carol Weissert" "Political Science"
"497" 1997 6 "Carol Weissert" "Political Science"
"498" 1998 25 "Carol Weissert" "Political Science"
"499" 1999 23 "Carol Weissert" "Political Science"
"500" 2000 36 "Carol Weissert" "Political Science"
"501" 2001 33 "Carol Weissert" "Political Science"
"502" 2002 46 "Carol Weissert" "Political Science"
"503" 2003 61 "Carol Weissert" "Political Science"
"504" 2004 52 "Carol Weissert" "Political Science"
"505" 2005 47 "Carol Weissert" "Political Science"
"506" 2006 61 "Carol Weissert" "Political Science"
"507" 2007 72 "Carol Weissert" "Political Science"
"508" 2008 84 "Carol Weissert" "Political Science"
"509" 2009 78 "Carol Weissert" "Political Science"
"510" 2010 77 "Carol Weissert" "Political Science"
"511" 2011 115 "Carol Weissert" "Political Science"
"512" 2012 102 "Carol Weissert" "Political Science"
"513" 2013 104 "Carol Weissert" "Political Science"
"514" 2014 117 "Carol Weissert" "Political Science"
"515" 2015 98 "Carol Weissert" "Political Science"
"516" 2016 108 "Carol Weissert" "Political Science"
"517" 2017 107 "Carol Weissert" "Political Science"
"518" 2018 129 "Carol Weissert" "Political Science"
"519" 2019 103 "Carol Weissert" "Political Science"
"520" 2020 10 "Carol Weissert" "Political Science"
"521" 2002 5 "Mark Souva" "Political Science"
"522" 2003 8 "Mark Souva" "Political Science"
"523" 2004 6 "Mark Souva" "Political Science"
"524" 2005 15 "Mark Souva" "Political Science"
"525" 2006 20 "Mark Souva" "Political Science"
"526" 2007 29 "Mark Souva" "Political Science"
"527" 2008 40 "Mark Souva" "Political Science"
"528" 2009 43 "Mark Souva" "Political Science"
"529" 2010 61 "Mark Souva" "Political Science"
"530" 2011 54 "Mark Souva" "Political Science"
"531" 2012 81 "Mark Souva" "Political Science"
"532" 2013 103 "Mark Souva" "Political Science"
"533" 2014 75 "Mark Souva" "Political Science"
